City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1443,Mankera,PK,82.29,clear sky,31.3866,71.4407,Haider Wood Supplier
1445,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
1447,Vryburg,ZA,71.92,scattered clouds,-26.9566,24.7284,The Times Premier Lodge
1450,Kot Samaba,PK,82.98,clear sky,28.5522,70.4684,Nadeem Sweet Mart
1457,Hansi,IN,77.0,clear sky,29.1,75.9667,Green Valley Lodge
1459,Malindi,KE,80.78,overcast clouds,-3.2175,40.1191,African House Resort
1460,Huarmey,PE,76.33,overcast clouds,-10.0681,-78.1522,Hotel Miramar
1461,Odweyne,SO,71.31,few clouds,9.4092,45.064,Eng Hiirey House
1465,Santa Rosa,PH,83.1,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
1467,Quelimane,MZ,80.55,scattered clouds,-17.8786,36.8883,Hotel Flamingo
1471,Badin,PK,84.61,clear sky,24.656,68.8384,Muhammad Bin Qasim Boys Hostel Badin campus
1472,Taltal,CL,70.07,clear sky,-25.4,-70.4833,Residencial Karime
1474,Sibolga,ID,75.97,clear sky,1.7427,98.7792,Hotel Syariah CN Darussalam
1477,West Odessa,US,82.4,clear sky,31.8424,-102.4988,Corporate Mobile Housing
1482,Veraval,IN,78.76,clear sky,20.9,70.3667,Lords Inn Somnath
1485,Andes,CO,73.98,overcast clouds,5.6561,-75.8788,Café del Jardín - Alojamiento Rural
1487,Aracati,BR,81.21,overcast clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
1489,Puerto Narino,CO,83.75,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
1492,Tefe,BR,77.11,moderate rain,-3.3542,-64.7114,Aracati Hotel
1493,Culaba,PH,78.96,overcast clouds,11.6578,124.5425,Junrey Veraya
1494,Murud,IN,80.06,broken clouds,18.3258,72.965,On Point Plaza
1498,Lobo,PH,78.94,scattered clouds,13.6481,121.2112,Submarine Garden Beach Resort
1500,Natal,BR,84.42,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
1504,Matamoros,MX,73.51,broken clouds,25.5333,-103.25,Quinta Belem
